Sub-question 1.1 (Current situation),,,,,,,,,,,,,,,,,,,,,,,
"What are the atomic concepts, defined as minimal and independent, that constitute the foundations of a programming paradigm, and how can they be formalised mathematically within a coherent framework to ensure their non-contradiction and orthogonality?",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Title,Authors,DOI,DOI link,Venue,Citation count,Year,Classification Framework,Framework Assessment Rationale,Theoretical Focus,Theoretical Focus Rationale,Academic Rigor,Academic Rigor Assessment,Classification Contribution,Contribution Assessment Rationale,Systematic Analysis,Systematic Analysis Rationale,Full-Text Accessibility,Accessibility Assessment,Publication Language,Language Assessment,Screening judgement,Final Screening Rationale,Screening score
A Glimpse of Paradise,H. Aït-Kaci,10.1007/3-540-54141-1_2,https://doi.org/10.1007/3-540-54141-1_2,East/West Database Workshop,5,1990,no,"While the paper mentions ""programming paradigms,"" it does not explicitly present a formal classification system. The focus seems to be on language design principles rather than classification frameworks, so it does not clearly meet this criterion.",yes,"The paper strongly meets this criterion, as it focuses on theoretical aspects of programming paradigms and language design, discussing abstract concepts rather than implementation details.",maybe,"The language and approach suggest an academic work, but without more context about peer review, I cannot be certain, so it likely meets this criterion but with some uncertainty.",maybe,"The paper discusses programming paradigms and their relationships, but it appears to focus more on language design than classification systems, so it only partially meets this criterion.",maybe,"The abstract suggests a theoretical approach, but it does not explicitly mention systematic analysis methods. The paper appears to be more conceptual and design-oriented, so it only partially meets this criterion.",maybe,"I could not determine the full-text accessibility of the paper from the abstract alone, which created some uncertainty in the evaluation.",yes,"The abstract is written in English, so the paper meets this criterion.",Exclude,"The abstract presents a theoretical exploration of programming language design principles, focusing on abstract structures and paradigms, but lacks clear evidence of a systematic classification framework. While the work demonstrates academic rigor and theoretical depth in English, it does not definitively meet all screening criteria related to classification systems and systematic analysis. The paper appears more oriented toward language design conceptualization than formal classification methodology.",3.2
A language based formalism for domain driven development,Wei Zhao,10.1145/949344.949385,https://doi.org/10.1145/949344.949385,"Conference on Object-Oriented Programming Systems, Languages, and Applications",1,2003,maybe,"The paper presents a framework for categorizing programming languages across generations, mentioning specific categories like machine languages, assembly languages, high-level languages, and 4GLs. However, the formality of the framework is not fully clear from the abstract.",yes,"The paper focuses on theoretical aspects of language evolution and classification, discussing formal frameworks like Two-Level Grammar++.",maybe,"I could not definitively determine if the paper is peer-reviewed from the abstract alone, as the technical nature suggests an academic work, but this is uncertain.",yes,"The paper discusses the evolution of programming languages and their classification, making a clear contribution to understanding language classification systems.",maybe,"The abstract mentions ""Two-Level Grammar++"", suggesting some formal analysis, but it does not clearly indicate the systematic nature of the analysis, creating uncertainty.",maybe,"I could not determine the full-text accessibility of the paper from the abstract alone, which created some uncertainty in the evaluation.",yes,"The abstract is written in English, so the paper meets this criterion.",Exclude,"The abstract demonstrates a clear theoretical focus on programming language classification, presenting a framework that categorizes languages across generations and discusses their evolution. While the study appears to contribute meaningfully to understanding language classification systems, significant uncertainty remains regarding full-text accessibility, systematic analysis methods, and academic rigor. The work shows promise in exploring theoretical aspects of programming language development, particularly through its discussion of 4GLs and Two-Level Grammar++.",3.9
Reconstruction of paradigm shifts,"R. Lämmel, G. Riedewald",-,-,-,12,1999,no,"While the paper discusses formal frameworks, these are for attribute grammars and meta-programming rather than classification systems for programming languages.",maybe,"The paper is strongly theoretical, focusing on formal approaches to language definition and meta-programming. However, this theory is not about classification systems.",yes,"The paper appears to be a rigorous academic work, using formal methods and presenting theoretical contributions. The technical nature and formal approach suggest peer-reviewed content.",no,"The paper focuses on attribute grammars and their extensions, which is related to programming language formalisms but does not directly contribute to classification systems. It is more about formal language definition and meta-programming.",maybe,"The paper clearly employs formal and systematic analysis methods, using meta-programming frameworks and formal properties. However, this analysis is not focused on classification.",maybe,"The abstract does not provide direct information about the full-text accessibility of the paper. However, given that the paper appears to be an academic work with formal notation and technical content, it is likely available through academic channels.",yes,"The abstract is written in English, meeting this criterion.",Exclude,"The abstract describes a technical paper on attribute grammars and meta-programming that does not directly address programming language classification systems. While the work demonstrates academic rigor and employs systematic analysis methods, it fails to meet key screening criteria related to classification frameworks and contributions. Consequently, the paper appears unlikely to be relevant for inclusion in the systematic review.",2.7
FROM DIFFICULT PROBLEMS TO PROGRAMMING PARADIGMS,Л.В. Городняя,10.38028/ESI.2021.21.1.008,https://doi.org/10.38028/ESI.2021.21.1.008,-,0,2021,yes,"The abstract indicates the paper presents a framework for categorizing programming languages based on paradigms and their relationship to problem-solving complexity. It mentions ""stratification"" of language semantics and ""paradigmatic models.""",yes,"The paper strongly focuses on theoretical aspects, particularly the relationship between programming paradigms and problem-solving, rather than implementation details. It discusses theoretical frameworks and semantic analysis.",maybe,"While the paper appears to be an academic work with historical analysis and systematic approach, the abstract doesn't explicitly indicate peer review status. The academic nature is suggested but not confirmed.",yes,"The paper appears to contribute to programming language classification through its analysis of programming paradigms and their relationship to problem-solving. It mentions ""systematization of programming languages"" and assessment of their similarities and differences.",maybe,"The paper claims to use systematic analysis methods, mentioning ""systematization"" and ""step-by-step development."" However, the level of formality in the analysis is not entirely clear from the abstract.",maybe,"The abstract is provided in both Russian and English, suggesting the full paper might be available, but this cannot be confirmed from the abstract alone, creating some uncertainty about full-text accessibility.",yes,"The paper is written in Russian with an English translation provided, meeting the criterion of being written in English or French.",Include,"The study presents a systematic analysis of programming language paradigms, offering a theoretical framework for understanding language classification through historical and semantic perspectives. While demonstrating strong academic potential with its comprehensive approach to programming language systematization, the paper exhibits some uncertainties regarding full-text accessibility and definitive peer review status. The research contributes meaningfully to understanding programming language classification by exploring the relationship between problem-solving complexity and paradigmatic development.",4.3
Work in progress-promoting critical thinking while learning programming language concepts and paradigms,Rosita Wachenchauzer,10.1109/FIE.2004.1408650,https://doi.org/10.1109/FIE.2004.1408650,"34th Annual Frontiers in Education, 2004. FIE 2004.",5,2004,no,"The paper does not mention any formal classification systems or taxonomies, and instead focuses on pedagogical approaches to teaching programming languages.",no,The paper focuses on practical teaching methods rather than theoretical aspects of language classification.,maybe,"The paper appears to be an academic paper about teaching methods, but the abstract suggests it might be more of a teaching experience report rather than a rigorous research study.",no,"While the paper discusses programming languages, it focuses on teaching methods rather than classification systems, and does not appear to contribute to understanding classification systems.",no,"The paper describes an educational approach but does not appear to employ systematic analysis methods, and is more focused on describing a teaching methodology.",maybe,"I could not determine the full-text accessibility of the paper from the abstract alone, which introduced an uncertainty that affected the final score.",yes,"The abstract was written in English, so the paper meets this criterion.",Exclude,"The abstract describes a pedagogical approach to teaching programming languages, focusing on active learning methods rather than theoretical classification systems. Despite being an English-language academic work, the paper fails to meet key screening criteria related to systematic analysis, classification frameworks, and theoretical contributions to programming language understanding. Consequently, the study does not align with the systematic review's core objectives.",1.4
Constraint Programming and Database Query Languages,"P. Kanellakis, Dina Q. Goldin",10.1007/3-540-57887-0_92,https://doi.org/10.1007/3-540-57887-0_92,Theoretical Aspects of Computer Software,111,1994,no,"While the paper presents a framework, it is specifically for constraint query languages rather than a general classification system for programming languages. The framework described is domain-specific to database query languages.",maybe,"The paper has a strong theoretical focus, discussing formal properties, complexity bounds, and theoretical extensions of database models. However, this theoretical focus is not on programming language classification.",yes,The abstract suggests this is a formal academic work with theoretical foundations and references to other academic work. The technical nature and analytical approach indicate peer-reviewed academic content.,no,"The paper focuses on constraint query languages and their relationship to programming paradigms, but does not directly contribute to programming language classification systems. It is more about extending database query languages.",yes,"The paper appears to employ formal analysis methods, discussing algebraic and calculus-based approaches with complexity considerations.",maybe,"The abstract does not provide direct information about the accessibility of the full text, so this would need to be verified separately.",yes,"The abstract is written in English, meeting this criterion.",Exclude,"The abstract describes a technical paper on constraint query languages that, while academically rigorous and theoretically focused, does not directly contribute to programming language classification systems. Despite employing systematic analysis and presenting a formal framework, the work's primary domain is database query languages rather than programming language taxonomy. Consequently, the paper does not meet the core screening criteria for a systematic review of programming language classification.",2.7
"The programming language jigsaw: mixins, modularity and multiple inheritance",Gilad Bracha,-,-,-,246,1992,no,"The paper presents a framework (Jigsaw), but it's for modularity rather than language classification. It doesn't appear to address taxonomies or classification systems for programming languages.",maybe,"The paper has a strong theoretical focus, presenting a formal framework for modularity and inheritance. However, this theoretical focus is not on language classification but on module manipulation mechanisms.",yes,"As a dissertation with formal semantics and implementation analysis, this appears to be a rigorous academic work, meeting this criterion.",no,"While the paper presents a framework for modularity in programming languages, it doesn't directly contribute to classification systems. It focuses on module manipulation mechanisms rather than language classification.",yes,"The paper demonstrates systematic analysis through its denotational model of inheritance and formal semantics, meeting this criterion.",maybe,"The abstract indicates that the paper is a dissertation, which typically means the full text is accessible through academic channels. However, this cannot be confirmed from the abstract alone.",yes,"The abstract is written in English, meeting this criterion.",Exclude,"The dissertation presents a rigorous theoretical framework for modularity in programming languages, but does not directly address language classification systems. While demonstrating strong academic rigor and systematic analysis, the work focuses on module manipulation mechanisms rather than classification taxonomies, making it less relevant to the systematic review's specific criteria.",2.7
Beyond AOP: toward naturalistic programming,"C. Lopes, Paul Dourish, D. Lorenz, K. Lieberherr",10.1145/949344.949400,https://doi.org/10.1145/949344.949400,"Conference on Object-Oriented Programming Systems, Languages, and Applications",51,2003,no,"While the paper mentions ""high-level"" programming paradigms and discusses different approaches to programming languages, it does not appear to present or analyze formal classification systems. The focus seems to be on proposing a new perspective rather than analyzing existing frameworks, so it does not clearly meet this criterion.",yes,"The paper is clearly focused on theoretical aspects of programming languages, discussing fundamental concepts and approaches rather than implementation details. Therefore, it meets this criterion.",maybe,"The writing style and content suggest this is an academic paper, but without more information about the publication venue, I could not be certain of the peer review status. Therefore, it only partially meets this criterion.",maybe,"The paper discusses programming paradigms and language classification at a high level, but it appears to focus more on proposing a new approach based on natural languages rather than analyzing existing classification systems. Therefore, it only partially meets this criterion.",no,"The abstract suggests a theoretical discussion, but it does not indicate the use of systematic or formal analysis methods. The paper appears to be more of a conceptual proposal, so it does not clearly meet this criterion.",maybe,"I could not determine the full-text accessibility of the paper from the abstract alone, so this was considered a neutral factor in the assessment.",yes,"The abstract is written in English, so the paper meets this criterion.",Exclude,"The abstract presents a theoretical exploration of programming language paradigms, focusing on conceptual approaches rather than systematic classification frameworks. While academically oriented and written in English, the paper only partially meets criteria related to classification systems, systematic analysis, and rigorous framework development. The work appears more oriented toward proposing a new perspective on programming language understanding than providing a structured classification approach.",3.2
Problem posing interpretation of programming languages,"C. Landauer, K. Bellman",10.1109/HICSS.1999.772821,https://doi.org/10.1109/HICSS.1999.772821,Proceedings of the 32nd Annual Hawaii International Conference on Systems Sciences. 1999. HICSS-32. Abstracts and CD-ROM of Full Papers,21,1999,maybe,"The paper presents a theoretical framework (Problem Posing Interpretation) for understanding programming languages, but it is not explicitly focused on classification systems or taxonomies.",yes,"The paper strongly meets this criterion, as it focuses on theoretical aspects of programming paradigms and language interpretation, discussing fundamental concepts rather than implementation details.",maybe,"The abstract's tone and structure suggest an academic paper, but without more information about the publication venue, I could not be certain about the academic rigor.",maybe,"The paper discusses a programming paradigm that aims to unify interpretation across programming languages, which relates to language classification, but it is more focused on a specific paradigm than classification systems.",maybe,"The abstract mentions ""examples from all major programming paradigms,"" suggesting some systematic approach, but the methodology is not clearly described.",no,"I could not determine the full-text accessibility of the paper from the abstract alone, which created some uncertainty in the evaluation.",yes,"The abstract is written in English, so the paper meets this criterion.",Exclude,"A theoretical exploration of programming paradigms that partially addresses classification systems, with a strong focus on unifying language interpretation across different programming approaches. While demonstrating systematic analysis and theoretical depth, the study lacks explicit emphasis on formal classification frameworks, creating uncertainty about its direct alignment with comprehensive language classification criteria.",3.2
A class and method taxonomy for object-oriented programs,D. Workman,10.1145/511152.511161,https://doi.org/10.1145/511152.511161,SOEN,4,2002,no,"I notes that the paper does present a classification framework, but it is for categorizing program components (methods and classes) by purpose, not for classifying programming languages. The framework is specific to Java program analysis.",no,"I explains that while the paper has theoretical elements, its primary focus is on practical application (program grading and plagiarism detection) rather than theoretical aspects of language classification.",yes,"I indicates that the paper appears to be an academic work with a structured approach and theoretical foundations, and it is likely peer-reviewed given its academic nature and reference to other work.",no,"I explains that while the paper discusses classification, it focuses on classifying program components (methods and classes) for similarity analysis rather than classifying programming languages themselves. The classification system described is for program components, not programming languages.",maybe,"I states that the paper appears to employ systematic analysis methods for comparing program components, but this is not focused on programming language classification. The approach seems formal and systematic, but for a different purpose.",maybe,"The abstract does not provide direct information about the accessibility of the full text, but I notes that since this appears to be an academic paper with a reference to another work, it is likely available through academic channels.",yes,I states that the paper is clearly written in English.,Exclude,"The paper primarily addresses program component classification for similarity analysis, focusing on Java program grading and plagiarism detection, rather than programming language classification. While academically rigorous and systematic, the work does not meet the core screening criteria related to programming language taxonomy or theoretical language classification frameworks. The research is fundamentally oriented toward practical program analysis techniques rather than theoretical language categorization.",2.5
On the problem of computer language classification,"I. Anureev, E. V. Bodin, L. Gorodnyaya, A. Marchuk, F. Murzin, N. Shilov",-,-,-,3,2009,yes,"The paper clearly presents and analyzes formal classification systems. It discusses different frameworks including ""Linnaeus style"" taxonomy trees and ""Mendeleyev style"" periodic tables for classifying programming languages. It also introduces a ""semantics and pragmatics view"" for classification.",yes,"The paper strongly focuses on theoretical aspects of language classification, discussing paradigms, formal semantics, and classification frameworks rather than implementation details. It explicitly addresses theoretical foundations and classification approaches.",maybe,"The paper appears to be an academic work with formal structure, citations, and references to other academic works. It's likely peer-reviewed given its comprehensive nature and academic style.",yes,"The paper strongly meets this criterion as it directly focuses on classification systems for programming languages, discussing various approaches to classification and the evolution of programming language paradigms. The abstract explicitly mentions ""classification of computer languages"" multiple times and discusses different approaches to classification.",yes,"The paper appears to employ systematic analysis methods, discussing formal approaches to classification and presenting structured frameworks. It references formal semantics (Abstract State Machines) and systematic approaches to paradigmization.",maybe,"The abstract does not provide direct information about the full-text accessibility of the paper. However, since the paper appears to be an academic work with citations and references to other academic sources, it is likely available through academic channels.",yes,"The paper is written in English, meeting this criterion.",Include,"This comprehensive academic work provides a rigorous theoretical exploration of programming language classification systems, presenting multiple frameworks and approaches to understanding language paradigms. The study systematically analyzes classification methods, offering a sophisticated examination of language semantics, pragmatics, and theoretical foundations across different computational domains. Its strong focus on theoretical classification and academic methodology makes it a highly relevant contribution to understanding programming language categorization.",4.9
CUF - A Formalism for Linguistic Knowledge Representation,"J. Dorre, Michael Dorna",-,-,-,75,1993,maybe,"The paper does present a formal classification system (CUF), but it is for linguistic structures, not programming languages. While it shows theoretical rigor in classification, it is not in the target domain.",maybe,"The paper is strongly theoretical, focusing on formal systems and classification frameworks. However, its theoretical focus is on linguistic analysis rather than programming language classification.",yes,"The paper appears to be a rigorous academic work, with formal theoretical foundations and systematic analysis. It references other academic works and presents a structured theoretical contribution.",no,"While the paper discusses formal systems and classification, it focuses on linguistic description formalisms rather than programming language classification. The CUF formalism is for linguistic analysis, not programming language classification.",yes,"The paper clearly employs systematic and formal analysis methods, presenting a rigorous theoretical framework with formal specifications and logical semantics. However, this is applied to linguistics rather than programming languages.",maybe,"The abstract does not provide direct information about the full-text accessibility of the paper. However, given the technical nature and academic style of the paper, it is likely that the full text is accessible through peer-reviewed sources, but this cannot be confirmed without more information.",yes,"The paper is written in English, meeting this criterion.",Exclude,"The paper presents a rigorous linguistic formalism that, while methodologically sophisticated, fundamentally addresses linguistic description rather than programming language classification. Despite its strong theoretical foundations and systematic approach, the work fails to meet the core screening criteria due to its domain-specific focus on linguistic structures instead of programming language classification systems. Consequently, the paper does not align with the required research parameters for inclusion.",2.5
Component Programming - a Fresh Look at Software Components,Mehdi Jazayeri,10.1007/3-540-60406-5_30,https://doi.org/10.1007/3-540-60406-5_30,European Software Engineering Conference,18,1995,no,"The paper mentions a ""well-defined taxonomy and theory of software components"" but this appears to be about software components rather than programming languages themselves. This does not align with the criterion's focus on language classification frameworks.",no,"While the paper has theoretical elements, its primary focus is on practical implementation of component-based development using STL, rather than theoretical aspects of language classification.",yes,"The paper appears to be an academic work with formal analysis and theoretical foundations, likely peer-reviewed given its structure and depth.",no,"While the paper discusses a taxonomy of software components, it does not directly contribute to programming language classification systems. The focus is on component-based development rather than language classification.",maybe,"The paper appears to present a systematic approach to component programming, but not specifically for language classification. The analysis seems more focused on implementation and practical application.",maybe,"The abstract does not provide direct information about the accessibility of the full text, so this would need to be verified separately.",yes,"The abstract is written in English, meeting this criterion.",Exclude,"The abstract describes a study on component-based software development using C++ STL, which does not directly address programming language classification systems. While academically rigorous and written in English, the work focuses on software components rather than language taxonomy, thus failing to meet the core screening criteria for language classification research.",2.7
The TXL Programming Language Syntax and Informal Semantics,"J. Cordy, I. Carmichael",-,-,-,33,1993,no,"There is no evidence of the paper presenting or analyzing formal classification systems or taxonomies, as it appears to be about a specific language implementation rather than classification frameworks, so it does not meet this criterion.",no,"The paper appears to focus more on practical applications and implementation details, and while it mentions theoretical aspects (grammar, transformation rules), these are in service of describing TXL rather than theoretical classification, so it does not clearly meet this criterion.",maybe,"The abstract suggests this is a technical report or research paper, but without more information about peer review, I could not be certain that it meets the academic rigor criterion, so it only partially meets this criterion.",no,"The paper focuses on describing a specific programming language (TXL) and does not appear to contribute to understanding classification systems, so it does not clearly meet this criterion.",maybe,"The paper appears to be primarily descriptive of TXL's features and applications, and while it mentions formal aspects (context-free grammar), it does not seem to employ systematic analysis methods for classification, so it only partially meets this criterion.",no,"I could not determine the full-text accessibility of the paper from the abstract alone, which was a significant uncertainty in the evaluation.",yes,"The abstract was written in English, so the paper meets this criterion.",Exclude,"The abstract describes a specific programming language (TXL) and its applications, but lacks clear evidence of contributing to programming language classification systems or presenting formal classification frameworks. While the text demonstrates technical depth and is written in English, it primarily focuses on language implementation and practical applications rather than theoretical classification approaches. Consequently, the document does not strongly align with the specified screening criteria for a study on programming language classification.",2.7
Declarative Languages for Advanced Information Technologies,A. Kosky,10.1177/026839628800300208,https://doi.org/10.1177/026839628800300208,Journal of Information and Technology,1,1988,maybe,"While the paper discusses different paradigms (declarative and object-oriented), it's not clear if it presents a formal classification system. The abstract suggests more of a discussion/overview rather than a formal framework.",yes,"The paper does focus on theoretical aspects of programming languages, discussing mathematical formalisms and programming paradigms.",no,"Being described as an ""essay"" suggests this might be more of an opinion piece, and there is no mention of peer review or formal academic methodology.",maybe,"The paper discusses programming paradigms and appears to analyze different approaches to programming languages, but it's not clear if it specifically contributes to classification systems.",no,"The abstract describes this as an ""essay"" and mentions ""putting forward various ideas"", suggesting a more informal, opinion-based approach rather than systematic analysis.",maybe,"I could not determine the full-text accessibility of the paper from the abstract alone, which created some uncertainty in the evaluation.",yes,"The abstract is written in English, so the paper meets this criterion.",Exclude,"The abstract describes a theoretical exploration of programming language paradigms, focusing on declarative and object-oriented approaches, but lacks clear evidence of systematic analysis or formal classification frameworks. While the work appears to be an English-language academic essay with theoretical insights, it does not definitively demonstrate rigorous academic methodology or a comprehensive classification system.",2.9
Programming Languages and Operational Semantics: A Concise Overview,M. Fernndez,10.5860/choice.185661,https://doi.org/10.5860/choice.185661,-,8,2014,no,"The abstract mentions ""alternative programming language paradigms"" but doesn't suggest a formal classification system or taxonomy is presented. It seems more focused on explaining existing paradigms rather than analyzing classification frameworks.",maybe,"The book does cover theoretical aspects of programming languages, but appears to balance this with practical implementation details and specific language features, as indicated by ""in-depth analysis of the most significant constructs.""",no,"While this is an academic text, it's described as an ""introduction"" and ""designed to accompany lectures,"" suggesting it's more of an educational text than a peer-reviewed research work.",no,"While the book discusses programming language paradigms, it appears to focus more on teaching concepts rather than contributing to classification systems. The abstract doesn't indicate any specific contribution to classification theory.",maybe,"The book uses ""operational semantics techniques"" which suggests some formal analysis, but the focus appears to be on teaching concepts rather than systematic analysis of classification systems.",maybe,"The abstract indicates this is a book, which suggests it may be accessible through libraries or purchase. However, this is not explicitly confirmed in the abstract.",yes,"The abstract is in English, suggesting the book is written in English, meeting this criterion.",Exclude,"The text appears to be an educational textbook about programming languages, lacking the systematic research approach and classification framework required by the screening criteria. While covering programming language paradigms, the work is primarily designed for undergraduate instruction and does not meet the rigorous academic standards of a research-focused study on language classification systems.",2.7
Formal software development using generic development steps,A. Dold,-,-,-,10,2000,maybe,"The paper does present formal frameworks and taxonomies, but these are for software development transformations rather than programming language classification. The focus is on transformational development processes.",maybe,"The paper has a strong theoretical focus, dealing with formal systems, verification, and theoretical frameworks. However, this theoretical work is not focused on programming language classification.",maybe,"The abstract suggests this is a formal academic presentation with rigorous methodology, though being a ""talk"" rather than a paper raises some concerns about peer review status.",no,"While the paper discusses formal systems and taxonomies, it focuses on software development transformation rather than programming language classification specifically. The taxonomies mentioned are for problem-solving strategies, not programming languages.",yes,"The paper strongly meets this criterion, employing formal analysis methods through PVS specification and verification system, with clear systematic approaches to transformation and verification.",maybe,"The abstract appears to be from a talk, which raises concerns about full-text accessibility. While the abstract is detailed, there's no clear indication that a full paper exists or is accessible, creating significant uncertainty.",yes,"The abstract is in English, meeting this criterion.",Exclude,"The document presents a rigorous theoretical approach to software development transformation using formal systems, but does not directly address programming language classification. While demonstrating systematic analysis and theoretical depth, the work focuses on transformational development processes rather than language classification frameworks. Consequently, the text does not meet the core screening criteria for programming language classification research.",2.7
A Formal Basis for the Perception of Programming as a Language Design Activity,"P. Bailes, T. Chorvat, I. Peake",-,-,-,3,1994,no,"While the paper discusses theoretical aspects of programming languages, it does not explicitly present or analyze formal classification systems or taxonomies. It focuses more on the nature of language design as programming.",yes,"The paper has a strong theoretical focus, examining denotational semantics and the nature of language design as programming, meeting the theoretical focus criterion.",yes,"The abstract suggests this is an academic work with formal analysis and theoretical foundations, likely peer-reviewed, meeting the academic rigor criterion.",maybe,"The paper appears to contribute to understanding programming language classification by examining language design as a programming paradigm and analyzing denotational semantics, though it is not focused on classification systems per se.",yes,"The paper employs formal analysis through denotational semantics and presents both pragmatic and formal justifications, meeting the systematic analysis criterion.",maybe,"The abstract does not provide information about the accessibility of the full text, so this criterion is uncertain based on the information given.",yes,"The abstract is written in English, meeting this criterion.",Exclude,"The abstract demonstrates strong theoretical and analytical qualities in programming language research, with a focus on denotational semantics and language design paradigms. While meeting several screening criteria like academic rigor and theoretical focus, the study lacks a clear classification framework and has uncertain full-text accessibility. The work partially contributes to understanding programming language classification through systematic analysis, but does not directly present a comprehensive classification system.",3.5
Modules for hierarchical and crosscutting models,K. Ostermann,-,-,-,5,2003,no,"The paper does not present or analyze formal classification systems for programming languages. Instead, it proposes new language features and concepts for handling crosscutting concerns and hierarchical decomposition.",no,"The paper has a strong theoretical focus, examining fundamental concepts in programming language design. However, this theoretical work is not focused on language classification but rather on language features and modularization.",yes,"As a thesis, this work appears to meet academic rigor standards. It presents formal theoretical work and systematic analysis of programming language concepts.",no,"The paper focuses on programming language design and modularization concepts, but does not directly contribute to classification systems. While it discusses theoretical aspects of programming languages, it's more about language features than classification.",maybe,"The paper appears to employ systematic analysis methods, particularly in its theoretical examination of inheritance, aggregation, and crosscutting concerns. However, this analysis is focused on language features rather than classification systems.",maybe,"The abstract appears to be from a thesis, which suggests it may be available through academic channels. However, this cannot be confirmed from the abstract alone, creating some uncertainty about the full-text accessibility.",yes,"The abstract is written in English, meeting this criterion.",Exclude,"The thesis presents a rigorous academic work on programming language design, focusing on modularization and crosscutting concerns, but does not directly contribute to programming language classification systems. While demonstrating strong theoretical foundations and systematic analysis, the paper fails to meet key criteria related to classification frameworks and systematic classification approaches. Consequently, the work does not align with the primary objectives of the systematic review.",2.7
Programming Languages: Principles and Practice,"K. Louden, Pat Adams",-,-,-,142,1993,no,"The abstract doesn't indicate any formal classification systems or taxonomies. It mentions covering ""major principles and paradigms"" but seems to focus on teaching these concepts rather than analyzing or developing classification frameworks.",no,"While the text mentions ""fundamental concepts of programming language theory,"" it appears to focus more on practical teaching and implementation examples rather than theoretical aspects of language classification.",no,"This appears to be a textbook rather than a peer-reviewed academic work. While textbooks can be rigorous, they typically don't meet the academic rigor criterion for systematic reviews.",no,"While the text mentions covering ""Common Themes for programming languages in general,"" it appears to be more focused on teaching programming language concepts rather than contributing to classification systems or theoretical foundations of classification.",no,"The abstract suggests a pedagogical approach rather than systematic or formal analysis. It emphasizes ""in-depth introduction"" and ""coverage"" rather than analytical methods.",maybe,"The abstract appears to be from a book publisher, suggesting this is likely a textbook rather than a research paper. While textbooks are typically accessible, this creates uncertainty about whether it's the type of document we're looking for in a systematic review.",yes,"The abstract is in English, meeting this criterion.",Exclude,"The document appears to be a textbook introduction to programming languages, lacking the systematic research approach and theoretical classification framework required by the screening criteria. While covering multiple programming languages and their principles, the text does not demonstrate the rigorous academic analysis or classification system development sought in the review. The pedagogical nature of the work fundamentally diverges from the research-oriented screening requirements.",2.5
Expressive Power of Query Languages,"S. Abiteboul, V. Vianu",10.1016/b978-0-12-708240-0.50013-7,https://doi.org/10.1016/b978-0-12-708240-0.50013-7,Theoretical Studies in Computer Science,22,1991,yes,"The paper presents a framework for classifying query languages based on three paradigms (logic, algebraic, and logic programming) and discusses formal classification systems for queries (fixpoint queries and while queries), meeting this criterion.",yes,"The paper is strongly focused on theoretical aspects (expressive power, complexity classes, formal analysis) and does not focus on implementation details, meeting this criterion.",yes,"The abstract suggests this is a formal academic analysis, and the technical depth and theoretical focus indicate it is a peer-reviewed work, likely meeting this criterion.",maybe,"The paper discusses query languages and their classification based on expressive power, which contributes to the understanding of programming language classification systems. However, the focus is specifically on query languages rather than programming languages in general, so it only partially meets this criterion.",yes,"The paper employs formal analysis methods, examining relative expressive power and connections to complexity classes, using formal theoretical frameworks and complexity analysis, meeting this criterion.",maybe,"I could not determine the full-text accessibility of the paper from the abstract alone, so this was considered a neutral factor in the assessment.",yes,"The abstract is written in English, so the paper meets this criterion.",Include,"The abstract demonstrates strong academic rigor and theoretical focus, presenting a systematic analysis of query language classification through formal frameworks and complexity classes. While the study meets most screening criteria, its specific concentration on query languages rather than broader programming language classification creates some uncertainty about direct applicability. The work's technical depth and theoretical approach suggest potential relevance, though with nuanced limitations.",4
Programming language theory and its implementation - applicative and imperative paradigms,-,-,-,Prentice Hall International series in Computer Science,18,1988,no,"I noted that the abstract did not mention any explicit classification systems or taxonomies, and that the focus appeared to be on theoretical foundations rather than classification frameworks. I determined that the paper does not clearly meet this criterion.",yes,"I found that the abstract has a strong focus on theoretical aspects, such as logic, calculus, and functional programming, and that the paper meets this criterion well.",no,"I determined that the ""volume"" format suggests this is likely a textbook or educational material rather than a peer-reviewed research paper. I concluded that the paper likely fails this criterion.",maybe,"I found that the abstract focused on programming language theory and its applications, but did not explicitly mention classification systems. I concluded that the paper only partially meets this criterion.",maybe,"I found that the abstract mentioned formal theoretical approaches, such as Floyd-Hoare logic and calculus, which suggests the use of systematic analysis methods. I concluded that the paper partially meets this criterion.",maybe,"I could not determine the full-text accessibility of the paper from the abstract alone, as it was unclear whether the ""volume"" referred to a book or a research paper. I noted that this created uncertainty about the accessibility of the full text.",yes,"I determined that the abstract was written in English, which likely meets the publication language criterion. However, I also noted that the ""volume"" format might indicate this is a book rather than a research paper, which could affect the publication language.",Exclude,"The volume appears to be an educational text focused on programming language theory, lacking clear evidence of a research paper's systematic classification approach. While demonstrating theoretical depth in programming language foundations, the work does not meet key screening criteria related to academic rigor, classification frameworks, and systematic analysis. The abstract suggests a textbook-style introduction rather than a peer-reviewed research contribution.",2.7
