Sub-question 1.2 (Contribution),,,,,,,,,,,,,,,,,,,,,,,,,,,
"How can we define a set of conceptual primitives that enable programming paradigms to be reconstructed in a minimal and orthogonal manner, and how can we formally guarantee these properties within a unified mathematical framework?",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Title,Authors,DOI,DOI link,Venue,Citation count,Year,Fundamental Analysis,Fundamental Analysis Rationale,Formal Framework,Formal Framework Assessment,Paradigm Theory,Paradigm Theory Rationale,Language Design Principles,Design Principles Assessment,Theoretical Foundation,Theoretical Foundation Rationale,Implementation Focus,Implementation Focus Assessment,Theoretical Contribution,Contribution Assessment Rationale,Publication Language,Language Assessment,Full-Text Accessibility,Accessibility Assessment,Screening judgement,Final Screening Rationale,Screening score
"Research on sets, constraints, and preferences",B. Jayaraman,10.1145/340855.340963,https://doi.org/10.1145/340855.340963,SOEN,0,2000,yes,"The paper analyzes fundamental programming language constructs, including set theory foundations, constraint handling, declarative programming principles, and computational primitives.",yes,"The paper presents formal frameworks including set theory foundations, constraint logic programming, formal treatment of preferences and constraints, and mathematical foundations for declarative programming.",yes,"The paper explicitly examines declarative programming paradigms, set-oriented programming, constraint-based programming, object-oriented programming with constraints, and comparative analysis of different paradigms.",yes,"The paper explicitly discusses language design principles, particularly in developing the SURE language with specific design elements (Subset, Relational, and Equational clauses) and exploring fundamental principles of declarative programming.",yes,"The paper clearly presents theoretical foundations, including mathematical treatment of sets and constraints, formal paradigms for constraint and preference handling, and theoretical foundations for declarative programming.",yes,"While implementation is discussed (Warren Abstract Machine), it serves to support theoretical contributions rather than being the primary focus.",yes,"The paper focuses on theoretical contributions, including novel programming language design, new paradigms for constraint and preference handling, and theoretical foundations for declarative programming.",yes,"The paper is written in English, meeting the publication language criterion.",maybe,"The full-text accessibility of the paper cannot be determined from the abstract alone, which is a common limitation in screening.",Include,"The research presents a comprehensive theoretical exploration of declarative programming languages, focusing on fundamental design principles, formal frameworks, and paradigmatic analysis across multiple computational domains. By developing novel language constructs like SURE and examining set-oriented, constraint-based, and object-oriented programming paradigms, the study offers significant theoretical contributions to programming language foundations. The work demonstrates rigorous mathematical treatment of computational primitives, theoretical foundations, and comparative paradigm analysis.",4.9
From Category Theory to Functional Programming: A Formal Representation of Intent,"D. Borsatti, W. Cerroni, S. Clayman",10.1109/NetSoft54395.2022.9844061,https://doi.org/10.1109/NetSoft54395.2022.9844061,IEEE Conference on Network Softwarization,7,2022,yes,The study analyzes fundamental programming language constructs through the lens of category theory and declarative programming principles.,yes,The abstract explicitly mentions using category theory as a formal mathematical framework for analyzing the IBN paradigm.,yes,"The study examines the declarative programming paradigm and its application to network management, providing theoretical analysis of this paradigm.",yes,"The paper discusses declarative programming principles and their application to network management, which relates to fundamental design principles in programming languages.",yes,The paper presents a formal theoretical foundation using category theory concepts to formalize the declarative paradigm.,yes,"The implementation in Haskell appears to serve the theoretical contribution rather than being the primary focus, as it's described as an ""initial implementation of this formalization.""",yes,"The paper focuses on theoretical understanding through formalization rather than practical implementation alone, though it does include implementation aspects.",yes,"The paper is written in English, which meets the publication language criterion.",maybe,"The full text accessibility of the paper cannot be determined from the abstract alone, which is a common limitation in screening.",Include,"The research presents a rigorous theoretical exploration of declarative programming principles through category theory, focusing on formalizing the Intent-Based Networking paradigm with a strong mathematical framework. By utilizing Haskell for implementation and emphasizing fundamental programming language constructs, the study demonstrates a comprehensive approach to theoretical analysis of programming paradigms. The work's emphasis on formal theoretical foundations and paradigm theory provides a sophisticated examination of computational principles.",4.6
On the problem of computer language classification,"I. Anureev, E. V. Bodin, L. Gorodnyaya, A. Marchuk, F. Murzin, N. Shilov",-,-,-,3,2009,no,"While the paper discusses fundamental programming language constructs, it does so more from a historical and taxonomic perspective rather than deep theoretical analysis.",maybe,"The paper mentions using ""Abstract State Machines"" as a unified formal semantics, indicating some formal framework usage, though it's not clear how deeply this is developed.",yes,"The paper explicitly focuses on programming paradigms, their classification, and theoretical foundations. It discusses various paradigms (imperative, declarative, object-oriented) and their evolution.",no,"The paper discusses programming language paradigms and their classification, but does not specifically focus on orthogonality or minimality. It takes a broader historical and taxonomic approach.",maybe,"The paper appears to have a theoretical foundation in its approach to classification and paradigmization, but it seems more focused on historical and taxonomic analysis than deep mathematical theory.",yes,The paper appears to maintain a theoretical focus rather than implementation details.,maybe,"The paper appears to make theoretical contributions through its ""semantics and pragmatics view"" approach to classification, though it seems more focused on taxonomic organization than fundamental theoretical advances.",yes,"The paper is written in English, meeting the publication language criterion.",maybe,"The paper appears to be from a formal academic source, suggesting likely accessibility of the full text, though this cannot be determined from the abstract alone.",Exclude,"The paper demonstrates strong alignment with programming paradigm theory and theoretical contributions, particularly in its comprehensive exploration of language classification and evolution. While maintaining a theoretical focus, the study provides a nuanced taxonomic approach to understanding programming language paradigms, utilizing formal semantics and an open ontology to analyze computational language development. The research offers a sophisticated framework for understanding the complex landscape of programming languages across different computational approaches.",4
Proof-oriented programming for high-assurance systems,Aseem Rastogi,10.1145/3578527.3581769,https://doi.org/10.1145/3578527.3581769,International Symposium on Electronic Commerce,0,2023,yes,"The paper analyzes fundamental aspects of programming through the lens of formal proofs and correctness verification, suggesting a match with the fundamental analysis criterion.",yes,"The paper is centrally about formal proofs and correctness verification in programming, with explicit mention of ""mathematical proofs of their correctness and security,"" indicating a strong match with the formal framework criterion.",yes,"The paper explicitly discusses proof-oriented programming as a paradigm and compares it with traditional approaches through the Zeta framework, indicating a strong match with the paradigm theory criterion.",maybe,"The paper discusses F*, a proof-oriented programming language, and the formal proof aspects suggest some attention to fundamental design principles, though it does not explicitly focus on orthogonality or minimality.",yes,"The paper discusses formal proofs and mathematical foundations for programming correctness, particularly in the context of F* and the Zeta framework, suggesting a clear match with the theoretical foundation criterion.",yes,"The paper discusses implementations (Windows Hyper-V, Linux kernel, etc.), but these serve to demonstrate the theoretical framework rather than being the primary focus, indicating a match with the implementation focus criterion.",yes,"The paper appears to make theoretical contributions through its formal proof framework and Zeta methodology, though it also discusses practical implementations, suggesting a match with the theoretical contribution criterion.",yes,"The paper is written in English, meeting the publication language criterion.",maybe,"The full text of the paper may be accessible, as it appears to be a talk about Microsoft Research work, suggesting a reasonable chance of accessibility.",Include,"The abstract demonstrates strong alignment with theoretical programming language research, particularly in formal proof frameworks, paradigm theory, and mathematical foundations of programming correctness. It presents a comprehensive exploration of proof-oriented programming through the F* language and Zeta methodology, with significant theoretical contributions that extend beyond practical implementations. The work appears to provide a rigorous examination of programming language design principles and verification approaches.",4.6
A foundation for typed concatenative languages,Robert Kleffner,10.17760/d20467250,https://doi.org/10.17760/d20467250,-,3,-,yes,"The study analyzes fundamental programming language constructs at a theoretical level, particularly focusing on the concatenative paradigm's core properties.",yes,"The abstract explicitly mentions ""reduction semantics"" and ""sound type system,"" indicating a formal mathematical framework.",yes,The study directly examines programming paradigm foundations by focusing on the concatenative/stack-based paradigm and comparing it to functional approaches.,yes,"The paper directly addresses language design principles by investigating the ""design space for concatenative programming languages"" and aims to ""capture the essence of the concatenative paradigm.""",yes,"The paper presents a core programming language with formal semantics and type system, providing a clear theoretical foundation.",yes,"The abstract doesn't mention implementation details, focusing instead on theoretical contributions.",yes,"The paper's focus is clearly theoretical, developing formal foundations and type systems rather than practical applications.",yes,"The paper is written in English, meeting the publication language criterion.",maybe,"The paper appears to be a dissertation, which typically has accessible full text through academic channels, but this cannot be confirmed from the abstract alone.",Include,"A comprehensive theoretical investigation of concatenative programming languages, presenting a rigorous formal framework with reduction semantics, sound type system, and type inference algorithm. The research provides a fundamental analysis of programming paradigm foundations, focusing on theoretical contributions that explore the design space of stack-based programming languages. The study meets multiple screening criteria through its mathematical approach to language design principles and paradigm theory.",4.9
Assembling Paradigms of Programming in Software Engeneering,E. M. Lavrischeva,10.4236/JSEA.2016.96021,https://doi.org/10.4236/JSEA.2016.96021,-,5,2016,maybe,"While the paper discusses programming paradigms, it is unclear whether it analyzes fundamental constructs at a theoretical level.",maybe,"The abstract mentions ""formal means"" and ""formal"" methods, but the description is vague. While it claims to present formal approaches, the level of mathematical rigor is unclear.",yes,"The paper explicitly focuses on programming paradigms and their assembly, though the theoretical depth is unclear from the abstract.",maybe,"The paper discusses programming paradigms and their assembly, but does not explicitly address orthogonality or minimality. It is somewhat related but not clearly focused on fundamental design principles.",maybe,"The paper appears to have some theoretical elements through its discussion of formal methods and paradigms, but the abstract does not clearly demonstrate a strong mathematical framework.",maybe,"The paper mentions ""instrumental-technological complex (ITC)"" and implementation aspects, but it is unclear if these serve theoretical contributions or are the primary focus.",maybe,"The paper seems to focus on a theoretical approach to assembling paradigms, but the abstract's poor clarity makes it difficult to assess the depth of theoretical contribution.",yes,"The paper is written in English, though it contains some grammatical errors and awkward phrasing.",maybe,The full-text accessibility of the paper cannot be determined from the abstract alone.,Exclude,"The abstract presents a discussion of programming paradigms with claims of formal methods, but suffers from significant grammatical issues and unclear theoretical depth. While touching on paradigm assembly and interfaces, the text lacks clear demonstration of rigorous mathematical frameworks or fundamental theoretical contributions. The poor writing quality and ambiguous theoretical approach create substantial uncertainty about meeting the screening criteria.",2.9
"On Reconciling Objects, Components, and Eciency in Programming Languages","Peter H. Fröhlich, A. Gal, M. Franz",-,-,-,4,2002,yes,"The paper analyzes fundamental programming language constructs, particularly focusing on message handling and forwarding mechanisms at a theoretical level.",no,"The abstract does not explicitly mention formal mathematical frameworks or verification approaches. While it discusses ""strongly-checked"" languages, it does not clearly indicate formal analysis methods.",yes,"The paper directly examines programming paradigms, specifically the relationship between component-oriented and object-oriented programming, and provides comparative theoretical analysis.",maybe,"The paper discusses language design principles, particularly focusing on component-oriented programming and its relationship to object-oriented programming. It examines fundamental design concepts like ""stand-alone messages and generic message forwarding.""",no,"The paper appears to have some theoretical foundation in analyzing programming paradigms, but the abstract does not explicitly mention mathematical frameworks or formal theoretical foundations.",maybe,"The paper discusses implementation aspects (execution model, dynamic recompilation) but uses these to support broader theoretical contributions about language design and paradigms.",maybe,"The paper appears to make theoretical contributions by analyzing fundamental paradigm relationships and proposing new language design concepts. However, it also discusses practical implementation aspects.",yes,"The paper is written in English, meeting this criterion.",maybe,"The full text accessibility cannot be determined from the abstract alone, which is a common limitation in screening.",Exclude,"The research explores fundamental programming language design principles, particularly examining the relationship between component-oriented and object-oriented programming paradigms. While demonstrating strong theoretical contributions in paradigm analysis and language construct examination, the study lacks explicit formal mathematical frameworks or rigorous verification approaches. The work provides a nuanced investigation of programming language design principles with a focus on theoretical understanding and paradigmatic relationships.",4.3
Dagstuhl Seminar 9538 New Trends in the Intergration of Paradigms,Chris Hankin,-,-,-,0,1995,yes,The paper indicates analysis of fundamental programming language constructs and computational primitives at a theoretical level.,yes,"The paper mentions formal approaches including operational semantics, denotational semantics, and inference systems, and specifically references lambda-calculus and formal calculi.",yes,"The paper provides extensive discussion of programming paradigms (object-oriented, concurrent, functional, declarative) and their theoretical foundations.",yes,"The paper discusses fundamental design principles across multiple programming paradigms and their integration, including semantic basis and design methodologies.",yes,"The paper has a strong theoretical foundation through discussion of semantic frameworks, formal calculi, and deductive techniques.",yes,"While implementation is mentioned, it is clearly secondary to theoretical contributions, with implementation discussed as a consequence of theoretical understanding.",yes,"The paper clearly focuses on theoretical understanding, discussing semantic frameworks, formal analysis, and theoretical foundations rather than practical implementations.",yes,"The paper is written in English, meeting the language requirement.",maybe,"The full text of the paper is likely accessible, as it appears to be a preface from a published work.",Include,"This preface demonstrates a comprehensive theoretical exploration of programming language paradigms, presenting rigorous formal frameworks and semantic analyses across multiple computational approaches. The text extensively discusses fundamental design principles, theoretical foundations, and comparative paradigm analysis, with a strong emphasis on mathematical and deductive methodologies. Its focus on theoretical understanding and formal verification techniques makes it a robust candidate for scholarly investigation of programming language foundations.",4.9
A framework for programming denotational semantics in C++,N. Papaspyrou,10.1145/242903.242913,https://doi.org/10.1145/242903.242913,SIGP,3,1996,yes,"The paper analyzes fundamental programming language constructs through denotational semantics, meeting this criterion.",yes,"The paper deals with denotational semantics, which is a formal mathematical framework for analyzing programming languages, strongly meeting this criterion.",yes,"The paper explicitly compares object-oriented (C++) and functional programming paradigms, meeting this criterion.",maybe,"The paper discusses implementing denotational semantics in C++, which relates to fundamental language design principles, though not explicitly addressing orthogonality or minimality.",yes,"Denotational semantics provides a formal theoretical foundation, and the paper appears to work within this framework, meeting this criterion.",yes,"The implementation discussion appears to serve theoretical purposes, specifically to demonstrate how denotational semantics can be implemented in an object-oriented language, meeting this criterion.",maybe,"The paper appears to focus on theoretical aspects of implementing denotational semantics, though it has some practical implementation components. The theoretical contribution seems substantial.",yes,"The paper is written in English, meeting the publication language criterion.",maybe,"The full-text accessibility of the paper cannot be determined from the abstract alone, which is a common limitation in screening.",Include,"The research explores denotational semantics implementation in C++, demonstrating a robust theoretical approach to programming language paradigms with a strong formal mathematical framework. By comparing object-oriented and functional programming perspectives, the study provides a comprehensive analysis of fundamental language constructs while maintaining a theoretical focus on computational primitives and paradigm foundations.",4.6
A Brief Overview of the Pawns Programming Language,Lee Naish,10.48550/arXiv.2409.03152,https://doi.org/10.48550/arXiv.2409.03152,Software,0,2024,yes,"The paper analyzes fundamental programming language constructs at a theoretical level, including type systems, sharing analysis, and the integration of different programming paradigms.",yes,"The paper describes a formal sharing analysis framework and type system that provides mathematical guarantees about program behavior. The compiler performs ""extensive sharing analysis"" with formal properties.",yes,"The paper directly examines the theoretical foundations of combining functional and imperative programming paradigms, providing a comparative theoretical analysis of how these paradigms can be integrated.",yes,"The paper explicitly discusses fundamental design principles in combining functional and imperative programming paradigms, including orthogonality in how different programming styles are integrated.",yes,"The paper presents a theoretical foundation for combining functional and imperative programming, including formal type systems and sharing analysis that provides mathematical guarantees about program behavior.",yes,"While implementation aspects are discussed (compiler analysis), they serve to support the broader theoretical contributions about language design and paradigm integration.",yes,"The paper's primary focus is on theoretical contributions to programming language design, including novel type systems and sharing analysis frameworks.",yes,"The paper is written in English, meeting the publication language criterion.",maybe,"The full-text accessibility of the paper cannot be determined from the abstract alone, which is a common limitation in screening.",Include,"The research presents a rigorous theoretical exploration of programming language design, focusing on the integration of functional and imperative paradigms through a novel type system and sharing analysis framework. By providing mathematical guarantees about program behavior and examining fundamental computational constructs, the study offers a substantive theoretical contribution to programming language foundations. The work demonstrates a sophisticated approach to paradigm integration, supported by formal mathematical principles and a comprehensive analysis of language design principles.",4.9
"Join inverse rig categories for reversible functional programming, and beyond","R. Kaarsgaard, Mathys Rennela",10.4204/EPTCS.351.10,https://doi.org/10.4204/EPTCS.351.10,Mathematical Foundations of Programming Semantics,6,2021,yes,"The study analyzes fundamental programming language constructs at a theoretical level, specifically focusing on reversible computation semantics, which meets the fundamental analysis criterion.",yes,"The paper clearly presents a formal mathematical framework, using ""join inverse rig categories"" as a categorical model for reversible computing, which strongly meets the formal framework criterion.",yes,"The paper examines the foundations of reversible computing as a computational paradigm and provides theoretical analysis, which meets the paradigm theory criterion.",yes,"The paper investigates fundamental design principles in programming languages, specifically focusing on reversible computing and its formal semantics, which strongly meets the language design principles criterion.",yes,"The study has a strong theoretical foundation, using category theory to model reversible programming languages, which clearly meets the theoretical foundation criterion.",yes,"The paper appears to focus on theoretical contributions rather than implementation details, meeting the implementation focus criterion.",yes,"The paper focuses on theoretical understanding, developing formal semantics and categorical models rather than practical applications, which strongly meets the theoretical contribution criterion.",yes,"The paper is written in English, which meets the publication language criterion.",maybe,"The full-text accessibility of the paper cannot be determined from the abstract alone, which is a common limitation in screening.",Include,"This research presents a rigorous theoretical investigation of reversible computing through formal mathematical frameworks, specifically utilizing join inverse rig categories to model programming language semantics. The study demonstrates strong alignment with theoretical programming language research, focusing on fundamental design principles, paradigm foundations, and categorical modeling of computational constructs. Its comprehensive theoretical approach and mathematical framework provide significant insights into reversible computing's underlying structural principles.",4.9
On Functional Programming,Lidia Gorognaya,10.32603/2071-2340-2021-3-57-75,https://doi.org/10.32603/2071-2340-2021-3-57-75,Computer tools in education,1,2021,yes,"The paper analyzes fundamental programming language constructs and paradigms at a theoretical level, particularly focusing on functional programming.",no,"The abstract mentions an ""informal definition"" of programming paradigms and does not indicate the use of formal mathematical frameworks.",yes,"The paper explicitly focuses on comparing programming paradigms, particularly functional programming, and provides theoretical analysis of paradigm foundations.",maybe,"The paper discusses programming paradigms and their comparison, but does not explicitly focus on orthogonality or minimality. It does discuss fundamental principles of functional programming.",maybe,"While the paper discusses theoretical aspects of programming paradigms, it appears to use informal rather than formal theoretical foundations.",yes,"The paper discusses implementation aspects (parallel computing, program development) but uses these to support theoretical contributions about paradigms.",yes,"The paper appears to make theoretical contributions about programming paradigms and their comparison, though it also discusses practical applications.",yes,"The paper appears to be written in English, though the writing style suggests it might be a translation.",maybe,The full-text accessibility of the paper cannot be determined from the abstract alone.,Exclude,"The study provides a comprehensive theoretical exploration of functional programming paradigms, offering deep insights into programming language foundations and comparative analysis. While demonstrating strong theoretical contributions and fundamental analysis of programming constructs, the research lacks explicit formal mathematical frameworks and exhibits some uncertainty regarding full-text accessibility. The work primarily focuses on paradigm theory, theoretical understanding, and fundamental programming language principles.",4
The Multi-Paradigm Synchronous Programming Language,"L. Holenderski, A. Poigné",-,-,-,4,1998,yes,The paper appears to analyze fundamental language constructs at a theoretical level through the lens of Boolean automata.,yes,"The paper presents Boolean automata as a formal intermediate format, suggesting a formal mathematical framework for analysis.",yes,"The paper explicitly deals with multiple programming paradigms (Lustre, Esterel, Argos) and their combination, strongly meeting this criterion.",maybe,"The paper discusses translation rules between programming languages, which relates to language design principles, though it does not explicitly mention orthogonality or minimality.",maybe,"The use of Boolean automata as a common intermediate format implies a theoretical foundation, though the depth is not clear from the abstract.",yes,"The abstract suggests the implementation aspects (translation rules) serve theoretical goals (combining paradigms), meeting this criterion.",yes,The focus on uniform translation rules and theoretical combination of paradigms suggests a theoretical contribution rather than purely practical work.,yes,"The paper is written in English, meeting the publication language criterion.",maybe,"The full-text accessibility of the paper cannot be determined from the abstract alone, which is a common limitation in screening.",Include,"The study presents a rigorous theoretical approach to programming language translation, focusing on formal mathematical frameworks and paradigm combination through Boolean automata. By examining uniform translation rules across multiple synchronous programming languages, the research demonstrates a strong theoretical contribution to understanding programming language design principles and computational paradigms. The work appears to provide a fundamental analysis of language constructs with a clear emphasis on theoretical foundations rather than purely practical implementation.",4.6
Layered architecture of multiple programming language system for multiparadigm programming,"S. Sugimoto, T. Sakaguchi, K. Tabata",10.1109/ICCL.1992.185482,https://doi.org/10.1109/ICCL.1992.185482,Proceedings of the 1992 International Conference on Computer Languages,0,1992,yes,"The paper analyzes fundamental programming language constructs (control structures, data types, reference protocols) at a theoretical level through its layered architecture approach.",no,The abstract doesn't explicitly mention formal mathematical frameworks or verification approaches. The description appears more architectural than formal.,yes,The paper explicitly focuses on multiparadigm programming and discusses how different paradigms can be integrated through a layered architecture.,maybe,"The paper discusses a layered architecture for multiparadigm programming, which relates to fundamental design principles. However, it doesn't explicitly address orthogonality or minimality.",no,"While the paper presents a theoretical architecture, it's not clear if it includes formal mathematical foundations. The focus seems more structural than theoretical.",maybe,"The paper discusses implementation aspects (sequential processors, language-specific constructs) but uses these to support broader theoretical contributions about multiparadigm programming.",maybe,"The paper appears to make a theoretical contribution by proposing a unified framework for multiparadigm programming. However, it seems more focused on architectural design than pure theory.",yes,"The paper is written in English, meeting this criterion.",maybe,The full-text accessibility of the paper cannot be determined from the abstract alone.,Exclude,"A theoretical exploration of multiparadigm programming architecture demonstrates strong potential in examining fundamental language constructs and paradigm integration. While the study offers insights into programming language design principles, it lacks explicit formal mathematical frameworks, which may limit its theoretical depth. The research provides a structural approach to understanding programming paradigms through a layered architectural model.",4
Visualization of the Results of the Analysis of Programming Languages for Their Superficial Comparison,L. Gorodnyaya,10.25205/1818-7900-2021-19-2-29-52,https://doi.org/10.25205/1818-7900-2021-19-2-29-52,Vestnik NSU. Series: Information Technologies,0,2021,yes,The paper analyzes fundamental programming language constructs through semantic decomposition and paradigm analysis.,maybe,"The abstract mentions ""formalization"" and ""semantic decomposition,"" suggesting some formal framework, though the depth isn't entirely clear.",yes,"The paper explicitly focuses on ""paradigm analysis"" and ""comparing programming paradigms.""",maybe,"The paper discusses ""expressive power of languages"" and ""decomposition of programs,"" which relates to fundamental design principles.",yes,"The paper appears to have a theoretical foundation, discussing semantic decomposition and formal analysis of programming paradigms.",yes,The paper discusses implementation aspects but primarily in service of theoretical understanding of programming paradigms.,maybe,"The paper appears to focus on theoretical aspects rather than practical implementation, though it does mention practical applications.",yes,"The paper appears to be written in English, though there are some minor grammatical issues suggesting possible translation.",maybe,The full-text accessibility of the paper cannot be determined from the abstract alone.,Exclude,"The research demonstrates a strong theoretical approach to programming language analysis, focusing on paradigm theory, semantic decomposition, and fundamental design principles. While showing robust engagement with theoretical foundations and comparative analysis of programming paradigms, the study exhibits some uncertainties regarding the depth of its formal framework and full-text accessibility. The work appears to contribute meaningfully to understanding programming language constructs through a rigorous theoretical lens.",4.3
A Formal Basis for the Perception of Programming as a Language Design Activity,"P. Bailes, T. Chorvat, I. Peake",-,-,-,3,1994,yes,"The paper analyzes fundamental programming language constructs at a theoretical level, particularly focusing on declarations and language extensions, meeting this criterion.",yes,"The abstract explicitly mentions ""denotational semantics"" and formal justification, indicating a formal mathematical framework is used, strongly meeting this criterion.",yes,"The paper directly examines programming paradigms, specifically discussing how language design relates to functional programming and comparing it with application programming, strongly meeting this criterion.",yes,"The paper directly addresses language design principles, particularly focusing on how language design can be considered a programming paradigm, strongly meeting this criterion.",yes,"The paper appears to have a strong theoretical foundation, using denotational semantics and formal analysis of language design, well meeting this criterion.",yes,"The paper appears to use implementation aspects (denotational semantics) to support theoretical contributions rather than focusing on practical implementation, meeting this criterion.",yes,"The paper focuses on theoretical understanding of language design as a programming paradigm, rather than practical aspects, well meeting this criterion.",yes,"The paper is written in English, meeting the publication language criterion.",maybe,"The full-text accessibility of the paper cannot be determined from the abstract alone, which is a common limitation in screening.",Include,"The abstract demonstrates a rigorous theoretical exploration of programming language design, utilizing denotational semantics and formal mathematical frameworks to analyze language paradigms. It provides a comprehensive examination of fundamental programming constructs, focusing on theoretical contributions that bridge language design principles with functional programming concepts. The research appears to offer a sophisticated, paradigm-theoretical approach to understanding programming language foundations.",4.6
Universal Policies for Software-Defined MDPs,"Daniel Selsam, Jesse Michael Han, L. D. Moura, Patrice Godefroid",-,-,arXiv.org,2,2020,yes,"The paper analyzes fundamental programming language constructs at a theoretical level, particularly through the 'choose' primitive and its relationship to nondeterministic choice, which meets the fundamental analysis criterion.",yes,"The paper uses Markov Decision Processes (MDPs) as a formal mathematical framework for analyzing programming language properties, which clearly meets the formal framework criterion.",yes,"The paper explicitly introduces a new programming paradigm and provides theoretical analysis of its foundations, which strongly meets the paradigm theory criterion.",yes,"The paper introduces a new programming paradigm and language (Dodona) with specific design principles around oracle-guided decision programming and nondeterministic choice, which strongly meets the language design principles criterion.",yes,"The paper presents a theoretical foundation based on MDPs and formalizes the concept of oracle-guided decision programming, which meets the theoretical foundation criterion.",yes,"While the paper includes implementation aspects (interpreter, meta-interpreters), these serve to support and demonstrate the theoretical contributions rather than being the primary focus, which meets the implementation focus criterion.",yes,"The paper makes clear theoretical contributions through its novel programming paradigm and formal framework, rather than focusing on practical aspects alone, which meets the theoretical contribution criterion.",yes,"The paper is written in English, which meets the publication language criterion.",maybe,"The full-text accessibility of the paper cannot be determined from the abstract alone, which is a common limitation in screening.",Include,"A novel programming paradigm introducing oracle-guided decision programming demonstrates strong theoretical foundations through Markov Decision Processes and formal mathematical frameworks. The research presents a comprehensive theoretical contribution by analyzing fundamental language constructs, introducing a new programming language (Dodona), and exploring computational primitives at a rigorous theoretical level. The study's focus on paradigm theory, language design principles, and formal analysis provides significant insights into programming language development.",4.6
"Programming languages and systems, ESOP '94 : 5th European Symposium on Programming, Edinburgh, U.K., April 11-13, 1994 : proceedings",D. Sannella,-,-,-,0,1994,yes,"The collection provides strong evidence of fundamental analysis of programming language constructs, including primitive objects, behavioral semantics, abstractor semantics, and functional programming primitives.",yes,"The collection includes strong evidence of formal frameworks, such as π-nets, λ-calculus, process algebra, denotational semantics, formal type systems, and mathematical frameworks for constraint logic programming.",yes,"Several titles in the collection indicate paradigm-level analysis, including suffix trees in the functional programming paradigm, first-class polymorphism for ML, and a functional formulation of grammar analysis.",yes,"Several titles in the collection suggest investigation of fundamental language design principles, including type classes, shapely types, and foundational issues in constraint logic programming.",yes,"The collection clearly presents theoretical foundations, with multiple papers focusing on formal semantics, type theory, and mathematical frameworks.",maybe,"While some implementation aspects are mentioned, they appear to serve theoretical purposes, such as compilation of head and strong reduction in support of theoretical analysis.",yes,"The collection strongly emphasizes theoretical contributions rather than practical applications, with a focus on formal semantics, type theory, and mathematical foundations.",yes,"The paper appears to be written in English, as the abstract is in English.",maybe,"The full text of the paper may be accessible through academic channels, given that it appears to be a collection of academic papers.",Include,"This collection of theoretical computer science papers demonstrates strong alignment with programming language theory, formal semantics, and type systems across multiple screening criteria. The titles reveal deep theoretical investigations into fundamental programming language constructs, paradigm foundations, and mathematical frameworks, with a clear emphasis on rigorous theoretical contributions rather than practical applications. Multiple papers explore formal frameworks, language design principles, and computational primitives at a sophisticated theoretical level.",4.6
Linguistic paradigms for programming complex distributed systems,G. Agha,10.1145/234528.234730,https://doi.org/10.1145/234528.234730,CSUR,3,1996,yes,"The paper analyzes fundamental programming language constructs (actors, concurrency, message passing) at a theoretical level, meeting the fundamental analysis criterion.",maybe,"While the paper mentions extending lambda calculus with actor constructs, it does not explicitly present a formal mathematical framework in the abstract. However, the theoretical nature of the discussion suggests formal analysis may be present in the full text.",yes,"The paper examines programming paradigm foundations, specifically the actor model as a fundamental paradigm for concurrent computation, meeting the paradigm theory criterion.",yes,"The paper discusses fundamental design principles of the actor model, including orthogonality in how actors can be extended from sequential languages, meeting the language design principles criterion.",yes,"The paper appears to have a strong theoretical foundation, discussing fundamental concepts of actor models, concurrency, and interaction patterns, meeting the theoretical foundation criterion.",yes,"While implementation aspects are mentioned (runtime systems, memory management), they serve to support the theoretical discussion rather than being the primary focus, meeting the implementation focus criterion.",yes,"The paper focuses on theoretical understanding of actor models and interaction patterns rather than practical implementations, meeting the theoretical contribution criterion.",yes,"The paper is written in English, meeting the publication language criterion.",maybe,"The presence of citations suggests the paper is likely an academic publication that would be accessible, but the full-text accessibility cannot be determined from the abstract alone.",Include,"The abstract demonstrates a strong theoretical approach to programming language design, focusing on actor models and concurrent computation with clear examination of fundamental paradigm principles. It meets multiple screening criteria through its rigorous exploration of language constructs, interaction patterns, and theoretical foundations, with particular emphasis on understanding computational primitives at a conceptual level. The research appears to contribute substantively to theoretical understanding of programming paradigms while maintaining a sophisticated analytical perspective.",4.6
